100,1000,1000
101,2000,2000
102,3000,3000
103,4000,4000
104,5000,5000
105,6000,6000
106,7000,7000
107,8000,8000
108,9000,9000
109,10000,10000
110,11000,11000
111,12000,12000
112,13000,13000
113,14000,14000
114,15000,15000
115,16000,16000
116,17000,17000
117,18000,18000
118,19000,19000
119,20000,20000
120,21000,21000
121,22000,22000
122,23000,23000
123,24000,24000
124,25000,25000
125,26000,26000
126,27000,27000
127,28000,28000
128,29000,29000
129,30000,30000
130,31000,31000
131,32000,32000
132,33000,33000
133,34000,34000
134,35000,35000
135,36000,36000
136,37000,37000
137,38000,38000
138,39000,39000
139,40000,40000
140,41000,41000
141,42000,42000
142,43000,43000
143,44000,44000
144,45000,45000
145,46000,46000
146,47000,47000
147,48000,48000
148,49000,49000
149,50000,50000
150,51000,51000
151,52000,52000
152,53000,53000
153,54000,54000
154,55000,55000
155,56000,56000
156,57000,57000
157,58000,58000
158,59000,59000
159,60000,60000
160,61000,61000
161,62000,62000
162,63000,63000
163,64000,64000
164,65000,65000
165,66000,66000
166,67000,67000
167,68000,68000
168,69000,69000
169,70000,70000
170,71000,71000
171,72000,72000
172,73000,73000
173,74000,74000
174,75000,75000
175,76000,76000
176,77000,77000
177,78000,78000
178,79000,79000
179,80000,80000
180,81000,81000
181,82000,82000
182,83000,83000
183,84000,84000
184,85000,85000
185,86000,86000
186,87000,87000
187,88000,88000
188,89000,89000
189,90000,90000
190,91000,91000
191,92000,92000
192,93000,93000
193,94000,94000
194,95000,95000
195,96000,96000
196,97000,97000
197,98000,98000
198,99000,99000
199,100000,100000
200,101000,101000
201,102000,102000
202,103000,103000
203,104000,104000
204,105000,105000
205,106000,106000
206,107000,107000
207,108000,108000
208,109000,109000
209,110000,110000
210,111000,111000
211,112000,112000
212,113000,113000
213,114000,114000
214,115000,115000
215,116000,116000
216,117000,117000
217,118000,118000
218,119000,119000
219,120000,120000
220,121000,121000
221,122000,122000
222,123000,123000
223,124000,124000
224,125000,125000
225,126000,126000
226,127000,127000
227,128000,128000
228,129000,129000
229,130000,130000
230,131000,131000
231,132000,132000
232,133000,133000
233,134000,134000
234,135000,135000
235,136000,136000
236,137000,137000
237,138000,138000
238,139000,139000
239,140000,140000
240,141000,141000
241,142000,142000
242,143000,143000
243,144000,144000
244,145000,145000
245,146000,146000
246,147000,147000
247,148000,148000
248,149000,149000
249,150000,150000
250,151000,151000
251,152000,152000
252,153000,153000
253,154000,154000
254,155000,155000
255,156000,156000
256,157000,157000
257,158000,158000
258,159000,159000
259,160000,160000
260,161000,161000
261,162000,162000
262,163000,163000
263,164000,164000
264,165000,165000
265,166000,166000
266,167000,167000
267,168000,168000
268,169000,169000
269,170000,170000
270,171000,171000
271,172000,172000
272,173000,173000
273,174000,174000
274,175000,175000
275,176000,176000
276,177000,177000
277,178000,178000
278,179000,179000
279,180000,180000
280,181000,181000
281,182000,182000
282,183000,183000
283,184000,184000
284,185000,185000
285,186000,186000
286,187000,187000
287,188000,188000
288,189000,189000
289,190000,190000
290,191000,191000
291,192000,192000
292,193000,193000
293,194000,194000
294,195000,195000
295,196000,196000
296,197000,197000
297,198000,198000
298,199000,199000
299,200000,200000
300,201000,201000
